gene	name	log2fc	pval	padj
36	ENSG00000106648	GALNTL5	8.49829919888695	7.41998098721961e-15	2.51154896987288e-13
37	ENSG00000169006	NTSR2	8.48840963910414	1.19126636659547e-25	1.37208244946579e-23
38	ENSG00000176381	PRR18	8.44430648208289	4.46138430935768e-48	2.3350352772574e-45
39	ENSG00000268055	AC067969.1	8.42531721240835	1.1638434377108e-13	3.38412088144316e-12
40	ENSG00000249306	LINC01411	8.41303170072284	7.35083161031405e-22	5.7282580461974e-20
41	ENSG00000224924	LINC00320	8.39639858600081	6.28661747747133e-67	8.4789544262495e-64
42	ENSG00000286015	CR589904.2	8.36933165188008	1.36723961984351e-30	2.3050476802429e-28
43	ENSG00000189181	OR14I1	8.36181931607175	3.22500721490762e-15	1.13659626135845e-13
44	ENSG00000131885	KRT17P1	8.34869430292918	6.15822682800764e-15	2.10889199392328e-13
45	ENSG00000135625	EGR4	8.33072618136955	2.18409291922727e-22	1.82356158091768e-20
46	ENSG00000165643	SOHLH1	8.28952271914043	1.44850395891752e-46	6.86414707126498e-44
47	ENSG00000174403	MIR1-1HG-AS1	8.27332668352105	7.40240775854253e-18	3.62036586985789e-16
48	ENSG00000241216	SNAPC5P1	8.25626034381384	1.7060422643711e-17	7.94499124630829e-16
49	ENSG00000115194	SLC30A3	8.2238649467558	8.98671151460837e-109	1.96463011984084e-104
50	ENSG00000160862	AZGP1	8.21427884342321	2.21661477393629e-17	1.01874220547345e-15
51	ENSG00000172987	HPSE2	8.19879112947385	4.86530622041378e-60	5.0179909773897e-57
52	ENSG00000165092	ALDH1A1	8.15397617896165	2.00517346277072e-49	1.19178674269459e-46
53	ENSG00000260328	AC104024.2	8.08088458031317	1.88737158865379e-23	1.77915213707856e-21
54	ENSG00000152669	CCNO	8.07648480000213	9.60342116524479e-26	1.12254390000546e-23
55	ENSG00000167754	KLK5	8.05129162778371	1.20770493907753e-13	3.49715847222392e-12
56	ENSG00000237949	LINC00844	8.00692019705947	1.87872963755648e-41	6.39625361166924e-39
57	ENSG00000236466	AL035670.1	7.99740401843933	9.80194287002642e-13	2.51444572511497e-11
58	ENSG00000123560	PLP1	7.97858409331973	8.14957572315035e-46	3.57226464854642e-43
59	ENSG00000180739	S1PR5	7.95243127341056	3.73547743218749e-37	9.63176375842048e-35
60	ENSG00000204278	TMEM235	7.94913034714054	3.0501458807506e-29	4.73271971682661e-27
61	ENSG00000287185	AC041005.1	7.93925672109334	1.98064202022971e-12	4.85700515548218e-11
62	ENSG00000117152	RGS4	7.93703662028662	3.0685010554679e-22	2.52589498854678e-20
63	ENSG00000010282	HHATL	7.92542564916447	6.15990960777261e-105	7.2003183405254e-101
64	ENSG00000047936	ROS1	7.90404567107288	7.01233615379964e-20	4.36770145480092e-18
65	ENSG00000160678	S100A1	7.89336909780941	1.16987626390661e-28	1.73097261377271e-26
66	ENSG00000160183	TMPRSS3	7.84809858701309	4.91617508734802e-11	9.55099788299352e-10
67	ENSG00000284034	MIR5196	7.83722022615079	1.82429684442417e-12	4.48301453703031e-11
68	ENSG00000119411	BSPRY	7.81801451684638	2.22828513492018e-15	8.05038024222713e-14
69	ENSG00000279042	AP005242.4	7.79613724631669	1.19119879716654e-19	7.1527000377122e-18
70	ENSG00000261710	AC104417.2	7.79043098144123	1.85466054970963e-10	3.22126703797264e-09
71	ENSG00000229672	AL450322.2	7.77204090071331	1.26101718107345e-11	2.69799203713866e-10
72	ENSG00000235711	ANKRD34C	7.77026135806749	1.22374767856805e-22	1.05179313343985e-20
73	ENSG00000173267	SNCG	7.76248281335991	3.79306653374742e-84	1.10842886782434e-80
74	ENSG00000016602	CLCA4	7.74276133963797	1.14713279280367e-26	1.46812064398709e-24
75	ENSG00000122375	OPN4	7.70231461093392	7.81895199300851e-13	2.03402959598538e-11
76	ENSG00000228358	LINC02263	7.70083088629473	2.00305106476614e-21	1.51055896103558e-19
77	ENSG00000280776	LINC01202	7.69407077920211	8.68575718435792e-17	3.73264028411617e-15
78	ENSG00000261701	HPR	7.66971790972256	2.92880843568805e-40	9.08889605436041e-38
79	ENSG00000186831	KRT17P2	7.66651767910996	2.46046463355108e-12	5.92183344576085e-11
80	ENSG00000286293	AP005901.5	7.64232107715131	4.78529509933128e-16	1.8728341880385e-14
81	ENSG00000231062	AC103563.2	7.63783265252337	7.22402901197655e-11	1.35758320130215e-09
82	ENSG00000210112	MT-TM	7.63001993027281	4.91396491409569e-26	5.90130163159567e-24
83	ENSG00000168481	LGI3	7.62186632479794	4.85576806053414e-22	3.87875213163442e-20
84	ENSG00000233850	AC103563.7	7.58395320126025	1.92371655799865e-10	3.32637911929677e-09
85	ENSG00000286667	AC010641.2	7.57071270539979	2.15216025284244e-15	7.7964673126473e-14
86	ENSG00000286662	AC087894.3	7.56692887254062	1.51056243890099e-20	1.02367538881411e-18
87	ENSG00000254211	LINC01485	7.55626957221867	3.11944960709186e-11	6.26516262152864e-10
88	ENSG00000233532	LINC00460	7.514321051004	1.0869274263104e-11	2.34456163648619e-10
89	ENSG00000171885	AQP4	7.48443520916084	9.45633220898009e-61	1.03626625491345e-57
90	ENSG00000258696	AL359233.1	7.48218321669794	6.64899387321599e-11	1.25896473084268e-09
91	ENSG00000265015	AP005901.3	7.47362120847295	4.37735103908972e-11	8.58984716775373e-10
92	ENSG00000152137	HSPB8	7.47206300087497	2.00769106481533e-26	2.52343019963725e-24
93	ENSG00000226083	SLC39A12-AS1	7.46744720413488	5.3951178889581e-27	7.13926788724881e-25
94	ENSG00000134042	MRO	7.46537285248247	7.8295422337193e-79	1.44504503952545e-75
95	ENSG00000119698	PPP4R4	7.46452863758207	2.82152082500085e-43	1.08727770077258e-40
96	ENSG00000108381	ASPA	7.46200769837474	5.19049347517604e-47	2.51874692393393e-44
97	ENSG00000227619	AL391056.1	7.44350172037407	9.25881279939893e-16	3.4986938409108e-14
98	ENSG00000226620	LINC00343	7.42953581496215	1.21888519247818e-18	6.52559496864617e-17
99	ENSG00000244306	DUXAP10	7.39295788252976	3.22450360649199e-26	3.98146718200192e-24
100	ENSG00000278195	SSTR3	7.36375573978701	2.16187516711758e-23	2.01088797043268e-21
101	ENSG00000164124	TMEM144	7.34729192109144	2.1550773081056e-46	1.00762794617786e-43
102	ENSG00000135925	WNT10A	7.29709881263531	2.33782052746081e-11	4.78577655787906e-10
103	ENSG00000166558	SLC38A8	7.29617188865404	1.55865642936327e-10	2.73971954929733e-09
104	ENSG00000283025	AC027045.3	7.27074888311309	1.90542509285308e-10	3.29963169042365e-09
105	ENSG00000285539	AC006059.3	7.26955580697196	1.53470896996446e-41	5.27623916173957e-39
106	ENSG00000148482	SLC39A12	7.26527118935133	1.47430340187277e-25	1.67311965674669e-23
107	ENSG00000136698	CFC1	7.26108775260647	1.08198701958388e-09	1.63896495964354e-08
108	ENSG00000287538	AC109635.5	7.24925781442781	2.6695881583216e-10	4.50936647147705e-09
109	ENSG00000277400	AC145212.1	7.24687331882702	3.35216771548208e-17	1.52464935510778e-15
110	ENSG00000175084	DES	7.2420646000591	1.32990342835974e-15	4.91938011838514e-14
111	ENSG00000198574	SH2D1B	7.2410390177379	6.27187367042417e-17	2.75263822278804e-15
112	ENSG00000103089	FA2H	7.23123874944591	8.43950495484953e-27	1.0961041490804e-24
113	ENSG00000210077	MT-TV	7.22775268630029	8.2425417134784e-29	1.22996259687892e-26
114	ENSG00000263065	AF001548.1	7.22435647660836	2.36437653257495e-19	1.37270847463255e-17
115	ENSG00000152583	SPARCL1	7.17574221034746	2.84852674409134e-70	4.34301249282831e-67
116	ENSG00000234111	LINC02433	7.16279024598383	8.41370935801303e-11	1.55942677620213e-09
117	ENSG00000250723	AC016687.2	7.14910732176011	7.80408010184060e-11	1.45877226509192e-09
118	ENSG00000207955	AL359091.1	7.13292478770066	1.26627733620496e-24	1.31374400439939e-22
119	ENSG00000122223	CD244	7.11042164112024	5.18345579562788e-11	1.00258270482781e-09
120	ENSG00000154146	NRGN	7.03685382224328	1.24990626751182e-32	2.43502572682429e-30
121	ENSG00000278456	AC015712.7	7.03223691962175	2.15027412151892e-12	5.23273161827231e-11
122	ENSG00000278911	AC015819.3	7.03191767130577	1.81155343397684e-12	4.45482077624586e-11
123	ENSG00000100362	PVALB	7.03106874494236	8.07434873173403e-31	1.37448149017338e-28
124	ENSG00000204001	LCN8	7.01272785468085	1.63849952865417e-09	2.39704893497354e-08
125	ENSG00000149742	SLC22A9	7.01154086697938	1.06992527686938e-14	3.55968403073801e-13
126	ENSG00000274847	MAFIP	7.01071174876402	3.26181730444658e-16	1.29538105792784e-14
127	ENSG00000287189	AL121956.6	7.0087471949661	2.90797366997104e-19	1.66624040334762e-17
128	ENSG00000283462	AC008505.1	7.00813760231868	1.99369776179336e-13	5.57075692532332e-12
129	ENSG00000009950	MLXIPL	7.00550213766168	4.34267011441105e-80	9.51777580637826e-77
130	ENSG00000260653	AC237221.1	6.99663581578704	1.43951053277697e-09	2.12723623484576e-08
131	ENSG00000233427	AL009181.1	6.98964852535487	5.15826614827264e-32	9.72499564631594e-30
132	ENSG00000205634	LINC00898	6.96288408672956	2.66542100673409e-12	6.37139185024843e-11
133	ENSG00000253877	LINC01608	6.94865699906864	2.3631072069385e-25	2.622375962839e-23
134	ENSG00000188681	TEKT4P2	6.94196097726315	7.54454583520846e-16	2.86635524163873e-14
135	ENSG00000168484	SFTPC	6.92597125538807	1.29076290573969e-19	7.72409263064396e-18
136	ENSG00000165606	DRGX	6.92081532599378	4.96434599390704e-17	2.21481833293051e-15
137	ENSG00000288541	AL353732.2	6.90047448628473	5.77841306738953e-13	1.52469233283784e-11
138	ENSG00000260157	AC233702.1	6.89438716933851	6.4981925108628e-09	8.54093391223485e-08
139	ENSG00000287545	AP001994.2	6.89424713394372	4.24367563682685e-09	5.79715518335049e-08
140	ENSG00000248738	AC037441.1	6.89027316522588	2.4279941344574e-11	4.94726730464948e-10
141	ENSG00000138678	GPAT3	6.88622414194762	7.60601239228522e-19	4.20031553638214e-17
142	ENSG00000100628	ASB2	6.88549455562093	2.39267452658187e-37	6.26148638982435e-35
143	ENSG00000113578	FGF1	6.88489191073693	2.5270176211048e-80	5.90766179461879e-77
144	ENSG00000286117	AL121894.3	6.88031250634837	1.36062346549968e-15	5.0171380719955e-14
145	ENSG00000261696	AL353732.1	6.87372436663978	3.8708514940193e-09	5.32947554411791e-08
146	ENSG00000225492	GBP1P1	6.86107575890978	1.84526598654424e-11	3.82660806328485e-10
147	ENSG00000287314	AC090125.2	6.85118611931363	1.03625043550243e-08	1.31184815963046e-07
148	ENSG00000255045	AP000866.5	6.84976037015127	1.01829024009774e-28	1.51306711226726e-26
149	ENSG00000128645	HOXD1	6.83625040393253	1.46283751109377e-11	3.09953613302268e-10
150	ENSG00000095932	SMIM24	6.8080356199649	7.74026059049482e-30	1.24508127581139e-27
151	ENSG00000103569	AQP9	6.80408606161124	5.91157529789449e-21	4.21343924738346e-19
152	ENSG00000164530	PI16	6.77066218837546	1.19957778328123e-26	1.52965796822992e-24
153	ENSG00000138100	TRIM54	6.76942913512292	8.51996913555517e-55	6.9481338994538e-52
154	ENSG00000230156	LINC00443	6.76661519860973	1.14548238562173e-09	1.723235985268e-08
155	ENSG00000149305	HTR3B	6.7644861466555	1.04656638158642e-19	6.32757643156741e-18
156	ENSG00000287611	AC007922.4	6.75923254014123	1.04019008691421e-18	5.63776596256888e-17
157	ENSG00000225683	PACRG-AS3	6.74592062439222	3.80819384221249e-20	2.44582295723197e-18
158	ENSG00000118194	TNNT2	6.74169779179612	3.15704506601146e-36	7.79634502322704e-34
159	ENSG00000286021	LINC02822	6.7327792395479	6.54116157084311e-12	1.465679954024e-10
160	ENSG00000276520	CR589904.1	6.73185825242806	7.14878024550889e-09	9.31919244867138e-08
161	ENSG00000021300	PLEKHB1	6.731306612073	7.60414844617056e-52	5.44193211350741e-49
162	ENSG00000287544	AC097518.2	6.72721028548488	7.28555100736556e-10	1.13648762088651e-08
163	ENSG00000111907	TPD52L1	6.71136718056218	8.46874580229083e-62	9.89911696829775e-59
164	ENSG00000183760	ACP7	6.70064954607821	3.20236886857294e-10	5.34241051923156e-09
165	ENSG00000231826	LINC01819	6.69573528290313	1.32954302846113e-09	1.97137781729584e-08
166	ENSG00000286600	AC119427.2	6.69484632664825	8.86899318679285e-46	3.83961708742302e-43
167	ENSG00000205426	KRT81	6.69398012559342	1.19497262033587e-09	1.7907737127059e-08
168	ENSG00000250218	ALDH1L1-AS1	6.69193224706694	3.92764771473504e-30	6.40608476337738e-28
169	ENSG00000130176	CNN1	6.68843127553058	1.18724993292822e-29	1.8753735764862e-27
170	ENSG00000183773	AIFM3	6.67764846939467	1.2307657424606e-57	1.16646654840178e-54
171	ENSG00000016402	IL20RA	6.67647973947881	1.11051190907546e-19	6.70263702505149e-18
172	ENSG00000115593	SMYD1	6.67634042437052	1.02369438558889e-10	1.86773626531975e-09
173	ENSG00000109610	SOD3	6.64316212750549	3.34757999353895e-30	5.48549474922573e-28
174	ENSG00000163833	FBXO40	6.63068197877813	1.76521082128822e-14	5.71566462327921e-13
175	ENSG00000240687	AC082651.1	6.63039402657734	1.58454795567561e-08	1.94216508779016e-07
176	ENSG00000253671	AC027117.1	6.62957648556004	1.36693884698484e-16	5.74753531741217e-15
177	ENSG00000265168	AC005726.3	6.62717674599255	3.34527313815436e-50	2.17238320621591e-47
178	ENSG00000270947	AC025811.1	6.6269978864076	2.23922956713039e-14	7.13197667852509e-13
179	ENSG00000269553	U62631.1	6.62227146837111	8.52123304171926e-11	1.57852128406745e-09
180	ENSG00000276462	BX255923.2	6.61053885486018	9.69619474371202e-44	3.82040967503089e-41
181	ENSG00000117115	PADI2	6.60650766735433	1.9420474132299e-37	5.1204343338145e-35
182	ENSG00000266573	AC018697.1	6.60276536801817	1.11111662393734e-09	1.67657171478531e-08
183	ENSG00000184385	UMODL1-AS1	6.59408588369314	2.89917150071237e-21	2.14937097284314e-19
184	ENSG00000270321	AC007953.2	6.58748565752138	3.15547314753239e-09	4.4032223185244e-08
185	ENSG00000264340	AC009704.1	6.57386341388271	4.06265949524307e-23	3.69081037615774e-21
186	ENSG00000161249	DMKN	6.56812822560097	2.78975593418408e-41	9.40657416769549e-39
187	ENSG00000287277	AL392086.3	6.56794214309505	1.09933631514011e-18	5.93083485584898e-17
188	ENSG00000137825	ITPKA	6.55774508741448	9.76174626197186e-105	8.55787890421418e-101
189	ENSG00000250284	AC109439.1	6.55398597904053	2.71779194594639e-08	3.19279096041883e-07
190	ENSG00000228392	AL162391.1	6.54415830643013	3.85119850219359e-08	4.39902208066523e-07
191	ENSG00000287560	AL731533.2	6.54340580226016	3.15547419922875e-07	2.9841697342059e-06
192	ENSG00000241345	AC004690.2	6.53245363102244	6.53269724467439e-11	1.24029287644286e-09
193	ENSG00000244137	AL512328.1	6.52419404666283	1.99238964856238e-24	2.04289847386366e-22
194	ENSG00000284848	LINC02359	6.515835057031	5.25440229883306e-09	7.03536179508128e-08
195	ENSG00000226994	AC012593.1	6.50092925106959	3.2959120156703e-09	4.58286701776678e-08
196	ENSG00000225864	AL645939.1	6.48079932731009	1.66806544918078e-27	2.26721128319466e-25
197	ENSG00000225194	LINC00092	6.47411928213682	5.96059272600521e-34	1.28233193326886e-31
198	ENSG00000160349	LCN1	6.46092586393008	4.27893717556682e-08	4.84499483163066e-07
199	ENSG00000261738	MIR3976HG	6.45185538247906	9.1497361960794e-12	2.00408369261659e-10
200	ENSG00000237879	LINC00398	6.449040200511	4.12912480306331e-08	4.68895154521253e-07
201	ENSG00000160307	S100B	6.44441456393168	2.64825271614729e-36	6.58626085086079e-34
202	ENSG00000210107	MT-TQ	6.44426486657293	9.6450209344149e-20	5.8515908150022e-18
203	ENSG00000136514	RTP4	6.44398343039695	4.98377683431959e-10	8.02784116899794e-09
204	ENSG00000255986	MT1JP	6.4406242731207	2.93661779196132e-10	4.93191456468906e-09
205	ENSG00000227455	AL450345.1	6.43692327056548	5.8124239511537e-09	7.72354189826097e-08
206	ENSG00000068976	PYGM	6.43372646572968	8.93210999723763e-39	2.52598630058977e-36
207	ENSG00000231528	FAM225A	6.4314554781039	9.62652112321286e-08	1.01312489864257e-06
208	ENSG00000250954	AC016687.3	6.40808180128	4.84780625613294e-08	5.42777847968754e-07
209	ENSG00000205358	MT1H	6.40677072567872	4.52447029730521e-09	6.14483345916351e-08
210	ENSG00000287609	AL589787.2	6.40637331871977	1.15988512177059e-10	2.09011775771476e-09
211	ENSG00000239930	AP001625.3	6.40176019226831	1.51581037873797e-20	1.02417962526405e-18
212	ENSG00000109107	ALDOC	6.40031334972698	1.89763057339002e-51	1.30478845719741e-48
213	ENSG00000226277	AC105393.1	6.39659055059794	6.57593864122099e-08	7.16812061957403e-07
214	ENSG00000216863	LY86-AS1	6.39098481126828	6.25088471276506e-23	5.5918309750646e-21
215	ENSG00000070808	CAMK2A	6.38218496833749	1.14727516982337e-32	2.24756974191039e-30
216	ENSG00000134548	SPX	6.38133086040875	1.18564881003534e-29	1.8753735764862e-27
217	ENSG00000124253	PCK1	6.36185016903892	5.819531907932e-09	7.73005778088831e-08
218	ENSG00000224879	AC011754.1	6.35577182404592	8.74064254072981e-08	9.28249884844858e-07
219	ENSG00000126266	FFAR1	6.34944275783908	7.81924226519725e-08	8.39294057280906e-07
220	ENSG00000285883	AC123784.1	6.3449803755779	9.82609100924973e-14	2.88344379432101e-12
221	ENSG00000224189	HAGLR	6.33915172806412	6.30299711054685e-15	2.15426120541468e-13
222	ENSG00000258517	AC004817.1	6.33666244646997	1.46549608017574e-08	1.80698140096774e-07
223	ENSG00000064787	BCAS1	6.33397403486341	9.11117599916123e-31	1.5434860326695e-28
224	ENSG00000186081	KRT5	6.33292236979941	6.85787976971055e-21	4.83873782463661e-19
225	ENSG00000203797	DDO	6.32767942032073	3.64616235112605e-14	1.13250642309067e-12
226	ENSG00000118729	CASQ2	6.32673248225948	3.05660364795992e-30	5.05593962844389e-28
227	ENSG00000168748	CA7	6.31371811661426	6.23797868221248e-39	1.79300982335365e-36
228	ENSG00000261655	AC100803.3	6.30013558198635	2.64845204807598e-14	8.35191258721945e-13
229	ENSG00000234638	AC053503.3	6.29789835265233	1.88149460124109e-08	2.27983314380516e-07
230	ENSG00000104938	CLEC4M	6.29310102080321	1.00133144317052e-07	1.05067892632138e-06
231	ENSG00000105707	HPN	6.28912220066072	1.22881913982771e-28	1.81054625110665e-26
232	ENSG00000238271	IFNWP19	6.27826187298105	1.76190467469427e-08	2.14307010848089e-07
233	ENSG00000284703	AL805961.1	6.27634295747887	1.13709745793444e-10	2.05116237435118e-09
234	ENSG00000026751	SLAMF7	6.27014360389754	7.55672261123155e-11	1.41555337504304e-09
235	ENSG00000132329	RAMP1	6.26313651356495	9.31434575120606e-28	1.29101249983219e-25
236	ENSG00000196872	CRACDL	6.26073433058055	1.05549518645977e-40	3.39569263335639e-38
237	ENSG00000173227	SYT12	6.25284669811113	1.09515771700472e-44	4.46556926304703e-42
238	ENSG00000105711	SCN1B	6.24892660161921	1.58277572097533e-83	4.26947663134168e-80
239	ENSG00000100453	GZMB	6.24476327961646	6.18934563163484e-10	9.80315190896743e-09
240	ENSG00000115602	IL1RL1	6.24389684349132	2.23480875367953e-10	3.82283114952586e-09
241	ENSG00000114812	VIPR1	6.24382803358281	4.26161636241892e-49	2.44987050788433e-46
242	ENSG00000287364	AL353709.1	6.24279617585686	5.70243424800716e-17	2.51531146886625e-15
243	ENSG00000267432	DNAH17-AS1	6.22935084999923	3.4211147181126e-14	1.06828343561936e-12
244	ENSG00000284185	MIR219A2	6.22867966331264	4.03156309527681e-08	4.58711301304581e-07
245	ENSG00000196420	S100A5	6.22858887709301	1.51901849881582e-07	1.53818717002525e-06
246	ENSG00000167434	CA4	6.2236002625622	1.18232328565806e-67	1.65842122632685e-64
247	ENSG00000254406	AP001994.1	6.222142627718	1.68557988409181e-07	1.68977214966974e-06
248	ENSG00000254081	LINC01299	6.22214110127076	3.3869958697729e-17	1.53849461354049e-15
249	ENSG00000275358	AL080312.2	6.22074066650782	1.50633752070193e-07	1.52711008495099e-06
250	ENSG00000254092	AC021613.1	6.21050110405778	6.26267861941948e-32	1.16197540289515e-29
251	ENSG00000141934	PLPP2	6.20756443282473	1.45769096297713e-26	1.84537361006206e-24
252	ENSG00000233828	MIR4280HG	6.19621744202914	6.94904080808401e-09	9.09940306262442e-08
253	ENSG00000189058	APOD	6.19512008261393	3.37497728381888e-94	1.47937910514596e-90
254	ENSG00000188039	NWD1	6.19162723651249	2.94050064947333e-24	2.97160046902252e-22
255	ENSG00000144908	ALDH1L1	6.19073243578441	3.39239573504718e-22	2.77946591684345e-20
256	ENSG00000154493	C10orf90	6.18835060952099	6.21973889317208e-24	6.12661752154116e-22
257	ENSG00000286818	AC008496.3	6.18680559176821	1.26463564727724e-09	1.88309886382467e-08
258	ENSG00000231246	LINC02884	6.18448138247736	1.68338229883885e-12	4.16886773117104e-11
259	ENSG00000140090	SLC24A4	6.18167974403096	4.73493627371689e-39	1.37223149016885e-36
260	ENSG00000263878	DLGAP1-AS4	6.17827118141779	2.52628552804377e-33	5.18065816443923e-31
261	ENSG00000178860	MSC	6.17645142730916	2.51032197637909e-39	7.52388553381929e-37
262	ENSG00000162494	LRRC38	6.17114701297836	2.29646156117653e-15	8.28498123104706e-14
263	ENSG00000237166	LINC01792	6.17096972031556	1.89789774854686e-11	3.92632799416279e-10
264	ENSG00000211895	IGHA1	6.16060318038403	1.97320829487352e-07	1.95133940429582e-06
265	ENSG00000260500	AC010336.2	6.14797399997284	1.68667176203085e-38	4.62082177180749e-36
266	ENSG00000150656	CNDP1	6.14226261051257	2.06764636287633e-23	1.93349746685291e-21
267	ENSG00000228020	HNRNPA1P46	6.13896775105949	2.85174774469696e-07	2.72782973713279e-06
268	ENSG00000258279	LINC00592	6.13446605444309	2.24644937716219e-07	2.19127233126416e-06
269	ENSG00000223750	SIRPB3P	6.13254803443218	5.22555824710393e-08	5.81359933538051e-07
270	ENSG00000231680	LINC02723	6.13218930803541	2.28247850534008e-07	2.2227068521733e-06
271	ENSG00000279118	AC093535.2	6.13155508672476	3.91415470189754e-36	9.46604571940972e-34
272	ENSG00000055732	MCOLN3	6.12597248827271	1.00445271933604e-07	1.05327624497533e-06
273	ENSG00000007933	FMO3	6.12427235836476	8.88681688579296e-15	2.97077223769401e-13
274	ENSG00000254126	CD8B2	6.11669241278119	6.85590501703959e-21	4.83873782463661e-19
275	ENSG00000129151	BBOX1	6.11469452260898	3.67423741617741e-21	2.68426007235611e-19
276	ENSG00000100450	GZMH	6.10481986536014	2.3247659942865e-07	2.26074789577495e-06
277	ENSG00000286428	AL161731.1	6.09135785103958	2.86571297280587e-07	2.73894676525984e-06
278	ENSG00000170523	KRT83	6.08132710059386	2.64304033975099e-07	2.54404961076122e-06
279	ENSG00000267014	LINC01532	6.07699967116256	5.67407931974184e-11	1.08847341086098e-09
280	ENSG00000177984	LCN15	6.07028495765049	3.2065906848651e-15	1.13124261112841e-13
281	ENSG00000213876	RPL7AP64	6.06304805681519	4.71901445198108e-07	4.30059577335048e-06
282	ENSG00000259319	AF111167.2	6.05923412946613	6.81468856418188e-25	7.19791216506524e-23
283	ENSG00000127824	TUBA4A	6.05860521527763	2.92901844784359e-23	2.70294447132977e-21
284	ENSG00000171903	CYP4F11	6.05695313869289	1.25078115626793e-05	8.20908530916107e-05
285	ENSG00000258987	AL132642.1	6.05144276101993	5.94405291868802e-10	9.43594856041797e-09
286	ENSG00000179066	AC020907.1	6.03097252324814	7.41079512093488e-15	2.51086330923501e-13
287	ENSG00000188269	OR7A5	6.02568470124095	5.79890327084271e-08	6.39063925200004e-07
288	ENSG00000185933	CALHM1	5.99946251687974	1.19882234219162e-20	8.27541399087272e-19
289	ENSG00000228294	BMS1P17	5.97639111262131	4.42525427957013e-07	4.05912612664624e-06
290	ENSG00000283178	BX119927.1	5.97349857985137	1.20035292306076e-09	1.79784946442105e-08
291	ENSG00000231389	HLA-DPA1	5.97306923091593	7.76376033639272e-31	1.32805748154285e-28
292	ENSG00000175591	P2RY2	5.97116619539915	4.72936341608883e-14	1.44969044503485e-12
293	ENSG00000187730	GABRD	5.96639986169779	2.62636499131144e-85	8.37261283184711e-82
294	ENSG00000230970	HHATL-AS1	5.96357450163274	1.21199450450593e-36	3.0576267114755e-34
295	ENSG00000156076	WIF1	5.96283647403048	1.31040420198104e-15	4.86263959268457e-14
